waktu,komentar,cleaning,case_folding,normalisasi,tokenize,stopword_removal,steming_data,Score,Sentiment
4 tahun lalu,"Rame kalo malam hari mau jajanan apa aja komplit.. Tp sayang,semenjak pandemi ga ada permainan anak2.. Jd kurang rekomen ngajak anak2 jalan kesini.",Rame kalo malam hari mau jajanan apa aja komplit Tp sayangsemenjak pandemi ga ada permainan anak Jd kurang rekomen ngajak anak jalan kesini,rame kalo malam hari mau jajanan apa aja komplit tp sayangsemenjak pandemi ga ada permainan anak jd kurang rekomen ngajak anak jalan kesini,ramai kalau malam hari mau jajanan apa saja komplit tapi sayangsemenjak pandemi tidak ada permainan anak jadi kurang rekomen mengajak anak jalan kesini,"['ramai', 'kalau', 'malam', 'hari', 'mau', 'jajanan', 'apa', 'saja', 'komplit', 'tapi', 'sayangsemenjak', 'pandemi', 'tidak', 'ada', 'permainan', 'anak', 'jadi', 'kurang', 'rekomen', 'mengajak', 'anak', 'jalan', 'kesini']","['ramai', 'malam', 'jajanan', 'komplit', 'sayangsemenjak', 'pandemi', 'permainan', 'anak', 'rekomen', 'mengajak', 'anak', 'jalan', 'kesini']",ramai malam jajan komplit sayangsemenjak pandemi main anak rekomen ajak anak jalan kesini,1,Positif
4 minggu lalu,"Tempatnya ,ramah untuk anak² ... Mudah d jangkau",Tempatnya ramah untuk anak  Mudah d jangkau,tempatnya ramah untuk anak  mudah d jangkau,tempatnya ramah untuk anak mudah di jangkau,"['tempatnya', 'ramah', 'untuk', 'anak', 'mudah', 'di', 'jangkau']","['tempatnya', 'ramah', 'anak', 'mudah', 'jangkau']",tempat ramah anak mudah jangkau,6,Positif
3 bulan lalu,Bagunan Mesjidnya bagus dan modern.. toiletnya bersih terawat.. rekomended banget nih,Bagunan Mesjidnya bagus dan modern toiletnya bersih terawat rekomended banget nih,bagunan mesjidnya bagus dan modern toiletnya bersih terawat rekomended banget nih,bagunan mesjidnya bagus dan modern toiletnya bersih terawat rekomended banget nih,"['bagunan', 'mesjidnya', 'bagus', 'dan', 'modern', 'toiletnya', 'bersih', 'terawat', 'rekomended', 'banget', 'nih']","['bagunan', 'mesjidnya', 'bagus', 'modern', 'toiletnya', 'bersih', 'terawat', 'rekomended', 'banget', 'nih']",bagunan mesjid bagus modern toilet bersih awat rekomended banget nih,13,Positif
3 bulan lalu,Sempat istirahat disini setelah selesai ngurus pajak kendaraan di SAMSAT yg lokasinya berdekatan dengan alun alun,Sempat istirahat disini setelah selesai ngurus pajak kendaraan di SAMSAT yg lokasinya berdekatan dengan alun alun,sempat istirahat disini setelah selesai ngurus pajak kendaraan di samsat yg lokasinya berdekatan dengan alun alun,sempat istirahat disini setelah selesai mengurus pajak kendaraan di samsat yang lokasinya berdekatan dengan alun alun,"['sempat', 'istirahat', 'disini', 'setelah', 'selesai', 'mengurus', 'pajak', 'kendaraan', 'di', 'samsat', 'yang', 'lokasinya', 'berdekatan', 'dengan', 'alun', 'alun']","['istirahat', 'selesai', 'mengurus', 'pajak', 'kendaraan', 'samsat', 'lokasinya', 'berdekatan', 'alun', 'alun']",istirahat selesai urus pajak kendara samsat lokasi dekat alun alun,-2,Negatif
Diedit 5 bulan lalu,"Lumayan rame seperti alun-alun pada umumnya... nggak sempet mampir, cuman lewat aja ehehehe",Lumayan rame seperti alunalun pada umumnya nggak sempet mampir cuman lewat aja ehehehe,lumayan rame seperti alunalun pada umumnya nggak sempet mampir cuman lewat aja ehehehe,lumayan ramai seperti alunalun pada umumnya tidak sempat mampir cuman lewat saja ehehehe,"['lumayan', 'ramai', 'seperti', 'alunalun', 'pada', 'umumnya', 'tidak', 'sempat', 'mampir', 'cuman', 'lewat', 'saja', 'ehehehe']","['lumayan', 'ramai', 'alunalun', 'mampir', 'cuman', 'ehehehe']",lumayan ramai alunalun mampir cuman ehehehe,6,Positif
sebulan lalu,"Syahdu sekali di sini, bersih, adem, banyak makanan enak",Syahdu sekali di sini bersih adem banyak makanan enak,syahdu sekali di sini bersih adem banyak makanan enak,syahdu sekali di sini bersih adem banyak makanan enak,"['syahdu', 'sekali', 'di', 'sini', 'bersih', 'adem', 'banyak', 'makanan', 'enak']","['syahdu', 'bersih', 'adem', 'makanan', 'enak']",syahdu bersih adem makan enak,14,Positif
Diedit 2 tahun lalu,Kunjungilah karena tempat ini cocok sekali untuk joging ber olah raga ringan sekaligus tempat rekreasi tempatnya sejuk berada di tengah Kota Wonosobo,Kunjungilah karena tempat ini cocok sekali untuk joging ber olah raga ringan sekaligus tempat rekreasi tempatnya sejuk berada di tengah Kota Wonosobo,kunjungilah karena tempat ini cocok sekali untuk joging ber olah raga ringan sekaligus tempat rekreasi tempatnya sejuk berada di tengah kota wonosobo,kunjungilah karena tempat ini cocok sekali untuk joging ber olah raga ringan sekaligus tempat rekreasi tempatnya sejuk berada di tengah kota wonosobo,"['kunjungilah', 'karena', 'tempat', 'ini', 'cocok', 'sekali', 'untuk', 'joging', 'ber', 'olah', 'raga', 'ringan', 'sekaligus', 'tempat', 'rekreasi', 'tempatnya', 'sejuk', 'berada', 'di', 'tengah', 'kota', 'wonosobo']","['kunjungilah', 'cocok', 'joging', 'ber', 'olah', 'raga', 'ringan', 'rekreasi', 'tempatnya', 'sejuk', 'kota', 'wonosobo']",kunjung cocok joging ber olah raga ringan rekreasi tempat sejuk kota wonosobo,5,Positif
Diedit 5 tahun lalu,"Cocok utk jalan2 / olah raga pagi dan sore, atau sekedar menghirup udara segar",Cocok utk jalan  olah raga pagi dan sore atau sekedar menghirup udara segar,cocok utk jalan  olah raga pagi dan sore atau sekedar menghirup udara segar,cocok untuk jalan olah raga pagi dan sore atau sekedar menghirup udara segar,"['cocok', 'untuk', 'jalan', 'olah', 'raga', 'pagi', 'dan', 'sore', 'atau', 'sekedar', 'menghirup', 'udara', 'segar']","['cocok', 'jalan', 'olah', 'raga', 'pagi', 'sore', 'sekedar', 'menghirup', 'udara', 'segar']",cocok jalan olah raga pagi sore dar hirup udara segar,1,Positif
Diedit 6 tahun lalu,"Tempat yg mustinya bagus, tapi kurang terawat.. Mustinya ada banyak arena bermain untuk anak2",Tempat yg mustinya bagus tapi kurang terawat Mustinya ada banyak arena bermain untuk anak,tempat yg mustinya bagus tapi kurang terawat mustinya ada banyak arena bermain untuk anak,tempat yang mustinya bagus tapi kurang terawat mustinya ada banyak arena bermain untuk anak,"['tempat', 'yang', 'mustinya', 'bagus', 'tapi', 'kurang', 'terawat', 'mustinya', 'ada', 'banyak', 'arena', 'bermain', 'untuk', 'anak']","['mustinya', 'bagus', 'terawat', 'mustinya', 'arena', 'bermain', 'anak']",mustinya bagus awat mustinya arena main anak,10,Positif
setahun lalu,"Cocok buat yang mau ajakin keluarga santai santai sore, sambil menikmati jajanan diseputaran alun alun.
Jangan lupa coba mie ongklok nya, banyak pilihannya juga yang lainnya","Cocok buat yang mau ajakin keluarga santai santai sore sambil menikmati jajanan diseputaran alun alun
Jangan lupa coba mie ongklok nya banyak pilihannya juga yang lainnya","cocok buat yang mau ajakin keluarga santai santai sore sambil menikmati jajanan diseputaran alun alun
jangan lupa coba mie ongklok nya banyak pilihannya juga yang lainnya",cocok buat yang mau mengajak keluarga santai santai sore sambil menikmati jajanan diseputaran alun alun jangan lupa coba mie ongklok ya banyak pilihannya juga yang lainnya,"['cocok', 'buat', 'yang', 'mau', 'mengajak', 'keluarga', 'santai', 'santai', 'sore', 'sambil', 'menikmati', 'jajanan', 'diseputaran', 'alun', 'alun', 'jangan', 'lupa', 'coba', 'mie', 'ongklok', 'ya', 'banyak', 'pilihannya', 'juga', 'yang', 'lainnya']","['cocok', 'mengajak', 'keluarga', 'santai', 'santai', 'sore', 'menikmati', 'jajanan', 'diseputaran', 'alun', 'alun', 'lupa', 'coba', 'mie', 'ongklok', 'ya', 'pilihannya']",cocok ajak keluarga santai santai sore nikmat jajan putar alun alun lupa coba mie ongklok ya pilih,17,Positif
setahun lalu,"Pohon beringin yang rindang membuat teduh suasana bersantai diiringi dinginnya hembusan angin di pagi hari, cocok untuk berolahraga ringan seperti jalan santai, joging ataupun bersepeda.",Pohon beringin yang rindang membuat teduh suasana bersantai diiringi dinginnya hembusan angin di pagi hari cocok untuk berolahraga ringan seperti jalan santai joging ataupun bersepeda,pohon beringin yang rindang membuat teduh suasana bersantai diiringi dinginnya hembusan angin di pagi hari cocok untuk berolahraga ringan seperti jalan santai joging ataupun bersepeda,pohon beringin yang rindang membuat teduh suasana bersantai diiringi dinginnya hembusan angin di pagi hari cocok untuk berolahraga ringan seperti jalan santai joging ataupun bersepeda,"['pohon', 'beringin', 'yang', 'rindang', 'membuat', 'teduh', 'suasana', 'bersantai', 'diiringi', 'dinginnya', 'hembusan', 'angin', 'di', 'pagi', 'hari', 'cocok', 'untuk', 'berolahraga', 'ringan', 'seperti', 'jalan', 'santai', 'joging', 'ataupun', 'bersepeda']","['pohon', 'beringin', 'rindang', 'teduh', 'suasana', 'bersantai', 'diiringi', 'dinginnya', 'hembusan', 'angin', 'pagi', 'cocok', 'berolahraga', 'ringan', 'jalan', 'santai', 'joging', 'bersepeda']",pohon beringin rindang teduh suasana santa iring dingin hembus angin pagi cocok olahraga ringan jalan santai joging sepeda,11,Positif
6 bulan lalu,"Mohon kepada pihak yang berwenang untuk mencari solusi terkait burung burung yang bersarang di pepohonan di sekeliling alun alun .
Kotorannya sudah sangat mengganggu kenyamanan masyarakat.Banyak sekali kotoran …","Mohon kepada pihak yang berwenang untuk mencari solusi terkait burung burung yang bersarang di pepohonan di sekeliling alun alun 
Kotorannya sudah sangat mengganggu kenyamanan masyarakatBanyak sekali kotoran ","mohon kepada pihak yang berwenang untuk mencari solusi terkait burung burung yang bersarang di pepohonan di sekeliling alun alun 
kotorannya sudah sangat mengganggu kenyamanan masyarakatbanyak sekali kotoran ",mohon kepada pihak yang berwenang untuk mencari solusi terkait burung burung yang bersarang di pepohonan di sekeliling alun alun kotorannya sudah sangat mengganggu kenyamanan masyarakatbanyak sekali kotoran,"['mohon', 'kepada', 'pihak', 'yang', 'berwenang', 'untuk', 'mencari', 'solusi', 'terkait', 'burung', 'burung', 'yang', 'bersarang', 'di', 'pepohonan', 'di', 'sekeliling', 'alun', 'alun', 'kotorannya', 'sudah', 'sangat', 'mengganggu', 'kenyamanan', 'masyarakatbanyak', 'sekali', 'kotoran']","['mohon', 'berwenang', 'mencari', 'solusi', 'terkait', 'burung', 'burung', 'bersarang', 'pepohonan', 'sekeliling', 'alun', 'alun', 'kotorannya', 'mengganggu', 'kenyamanan', 'masyarakatbanyak', 'kotoran']",mohon wenang cari solusi kait burung burung sarang pohon keliling alun alun kotor ganggu nyaman masyarakatbanyak kotor,-11,Negatif
seminggu lalu,"Tempat yang indah
Apalagi malam hari mantap","Tempat yang indah
Apalagi malam hari mantap","tempat yang indah
apalagi malam hari mantap",tempat yang indah apalagi malam hari mantap,"['tempat', 'yang', 'indah', 'apalagi', 'malam', 'hari', 'mantap']","['indah', 'malam', 'mantap']",indah malam mantap,7,Positif
setahun lalu,"Mantap, sejuk walaupun terik siang hari. Aman buat nongkrong, nyantai, ngobrol. Kalau mau ke masjid agung, cuman beberapa meter aja.",Mantap sejuk walaupun terik siang hari Aman buat nongkrong nyantai ngobrol Kalau mau ke masjid agung cuman beberapa meter aja,mantap sejuk walaupun terik siang hari aman buat nongkrong nyantai ngobrol kalau mau ke masjid agung cuman beberapa meter aja,mantap sejuk walaupun terik siang hari aman buat nongkrong nyantai mengobrol kalau mau ke masjid agung cuman beberapa meter saja,"['mantap', 'sejuk', 'walaupun', 'terik', 'siang', 'hari', 'aman', 'buat', 'nongkrong', 'nyantai', 'mengobrol', 'kalau', 'mau', 'ke', 'masjid', 'agung', 'cuman', 'beberapa', 'meter', 'saja']","['mantap', 'sejuk', 'terik', 'siang', 'aman', 'nongkrong', 'nyantai', 'mengobrol', 'masjid', 'agung', 'cuman', 'meter']",mantap sejuk terik siang aman nongkrong nyantai obrol masjid agung cuman meter,8,Positif
setahun lalu,"Ke sini pas ada event balon udara, sip sih. Bisa buat hiburan pulang kampung",Ke sini pas ada event balon udara sip sih Bisa buat hiburan pulang kampung,ke sini pas ada event balon udara sip sih bisa buat hiburan pulang kampung,ke sini pas ada acara balon udara sip sih bisa buat hiburan pulang kampung,"['ke', 'sini', 'pas', 'ada', 'acara', 'balon', 'udara', 'sip', 'sih', 'bisa', 'buat', 'hiburan', 'pulang', 'kampung']","['pas', 'acara', 'balon', 'udara', 'sip', 'sih', 'hiburan', 'pulang', 'kampung']",pas acara balon udara sip sih hibur pulang kampung,-1,Negatif
3 tahun lalu,Pagi-pagi jalan atau lari-lari di sini nyaman banget. Udaranya seger dan di dalem alun-alun memang ada jalur buat jalan/lari yang cukup lebar 👌🏻 …,Pagipagi jalan atau larilari di sini nyaman banget Udaranya seger dan di dalem alunalun memang ada jalur buat jalanlari yang cukup lebar  ,pagipagi jalan atau larilari di sini nyaman banget udaranya seger dan di dalem alunalun memang ada jalur buat jalanlari yang cukup lebar  ,pagipagi jalan atau larilari di sini nyaman banget udaranya segar dan di dalem alunalun memang ada jalur buat jalanlari yang cukup lebar,"['pagipagi', 'jalan', 'atau', 'larilari', 'di', 'sini', 'nyaman', 'banget', 'udaranya', 'segar', 'dan', 'di', 'dalem', 'alunalun', 'memang', 'ada', 'jalur', 'buat', 'jalanlari', 'yang', 'cukup', 'lebar']","['pagipagi', 'jalan', 'larilari', 'nyaman', 'banget', 'udaranya', 'segar', 'dalem', 'alunalun', 'jalur', 'jalanlari', 'lebar']",pagipagi jalan larilari nyaman banget udara segar dalem alunalun jalur jalanlari lebar,1,Positif
4 tahun lalu,"Love the place, its an open air green space in downtown Wonosobo.. a great place to enjoy the nice weather. The alun-alun was surprisingly clean and neat. You can see many locals enjoying different activities there.",Love the place its an open air green space in downtown Wonosobo a great place to enjoy the nice weather The alunalun was surprisingly clean and neat You can see many locals enjoying different activities there,love the place its an open air green space in downtown wonosobo a great place to enjoy the nice weather the alunalun was surprisingly clean and neat you can see many locals enjoying different activities there,love the place its an open air green space ini downtown wonosobo a great place tapi enjoy the nice weather the alunalun was surprisingly clean and neat you can sih many locals enjoying different activities there,"['love', 'the', 'place', 'its', 'an', 'open', 'air', 'green', 'space', 'ini', 'downtown', 'wonosobo', 'a', 'great', 'place', 'tapi', 'enjoy', 'the', 'nice', 'weather', 'the', 'alunalun', 'was', 'surprisingly', 'clean', 'and', 'neat', 'you', 'can', 'sih', 'many', 'locals', 'enjoying', 'different', 'activities', 'there']","['love', 'the', 'place', 'its', 'an', 'open', 'air', 'green', 'space', 'downtown', 'wonosobo', 'a', 'great', 'place', 'enjoy', 'the', 'nice', 'weather', 'the', 'alunalun', 'was', 'surprisingly', 'clean', 'and', 'neat', 'you', 'can', 'sih', 'many', 'locals', 'enjoying', 'different', 'activities', 'there']",love the place its an open air green space downtown wonosobo a great place enjoy the nice weather the alunalun was surprisingly clean and neat you can sih many locals enjoying different activities there,11,Positif
11 bulan lalu,"alun alun wonosobo asri, banyak penjual jajanan, sewaan motor listrik, menggambar, dll. cocok untuk keluarga",alun alun wonosobo asri banyak penjual jajanan sewaan motor listrik menggambar dll cocok untuk keluarga,alun alun wonosobo asri banyak penjual jajanan sewaan motor listrik menggambar dll cocok untuk keluarga,alun alun wonosobo asri banyak penjual jajanan sewaan motor listrik menggambar dll cocok untuk keluarga,"['alun', 'alun', 'wonosobo', 'asri', 'banyak', 'penjual', 'jajanan', 'sewaan', 'motor', 'listrik', 'menggambar', 'dll', 'cocok', 'untuk', 'keluarga']","['alun', 'alun', 'wonosobo', 'asri', 'penjual', 'jajanan', 'sewaan', 'motor', 'listrik', 'menggambar', 'dll', 'cocok', 'keluarga']",alun alun wonosobo asri jual jajan sewa motor listrik gambar dll cocok keluarga,15,Positif
4 tahun lalu,Teman terbuka untuk nongkrong atau sekedar mampir cari makan dengan teman atau keluarga. Sayang saja fasilitas umum seperti toilet susah ditemui.,Teman terbuka untuk nongkrong atau sekedar mampir cari makan dengan teman atau keluarga Sayang saja fasilitas umum seperti toilet susah ditemui,teman terbuka untuk nongkrong atau sekedar mampir cari makan dengan teman atau keluarga sayang saja fasilitas umum seperti toilet susah ditemui,teman terbuka untuk nongkrong atau sekedar mampir cari makan dengan teman atau keluarga sayang saja fasilitas umum seperti toilet susah ditemui,"['teman', 'terbuka', 'untuk', 'nongkrong', 'atau', 'sekedar', 'mampir', 'cari', 'makan', 'dengan', 'teman', 'atau', 'keluarga', 'sayang', 'saja', 'fasilitas', 'umum', 'seperti', 'toilet', 'susah', 'ditemui']","['teman', 'terbuka', 'nongkrong', 'sekedar', 'mampir', 'cari', 'makan', 'teman', 'keluarga', 'sayang', 'fasilitas', 'toilet', 'susah', 'ditemui']",teman buka nongkrong dar mampir cari makan teman keluarga sayang fasilitas toilet susah temu,11,Positif
Diedit 5 tahun lalu,Lari pagi? Bisa. Jogging sore? Bisa. Basket? Bisa. Voli? Bisa. Sepak bola? Bisa. Titik kumpul touring? Bisa. Salah satu pusat keramaian Wonosobo yang bisa jadi sarana olahraga dan rekreasi murah meriah. Banyak pedagang dan warung makanan juga di dekat sini. Dekat juga dgn masjid.,Lari pagi Bisa Jogging sore Bisa Basket Bisa Voli Bisa Sepak bola Bisa Titik kumpul touring Bisa Salah satu pusat keramaian Wonosobo yang bisa jadi sarana olahraga dan rekreasi murah meriah Banyak pedagang dan warung makanan juga di dekat sini Dekat juga dgn masjid,lari pagi bisa jogging sore bisa basket bisa voli bisa sepak bola bisa titik kumpul touring bisa salah satu pusat keramaian wonosobo yang bisa jadi sarana olahraga dan rekreasi murah meriah banyak pedagang dan warung makanan juga di dekat sini dekat juga dgn masjid,lari pagi bisa jogging sore bisa basket bisa voli bisa sepak bola bisa titik kumpul touring bisa salah satu pusat keramaian wonosobo yang bisa jadi sarana olahraga dan rekreasi murah meriah banyak pedagang dan warung makanan juga di dekat sini dekat juga dengan masjid,"['lari', 'pagi', 'bisa', 'jogging', 'sore', 'bisa', 'basket', 'bisa', 'voli', 'bisa', 'sepak', 'bola', 'bisa', 'titik', 'kumpul', 'touring', 'bisa', 'salah', 'satu', 'pusat', 'keramaian', 'wonosobo', 'yang', 'bisa', 'jadi', 'sarana', 'olahraga', 'dan', 'rekreasi', 'murah', 'meriah', 'banyak', 'pedagang', 'dan', 'warung', 'makanan', 'juga', 'di', 'dekat', 'sini', 'dekat', 'juga', 'dengan', 'masjid']","['lari', 'pagi', 'jogging', 'sore', 'basket', 'voli', 'sepak', 'bola', 'titik', 'kumpul', 'touring', 'salah', 'pusat', 'keramaian', 'wonosobo', 'sarana', 'olahraga', 'rekreasi', 'murah', 'meriah', 'pedagang', 'warung', 'makanan', 'masjid']",lari pagi jogging sore basket voli sepak bola titik kumpul touring salah pusat ramai wonosobo sarana olahraga rekreasi murah riah dagang warung makan masjid,4,Positif
2 tahun lalu,Sempat berteduh disini sambil lihat anak2 pada Maen bola di saat Hujan🌧🌧🌧🌧🥺🥺 …,Sempat berteduh disini sambil lihat anak pada Maen bola di saat Hujan ,sempat berteduh disini sambil lihat anak pada maen bola di saat hujan ,sempat berteduh disini sambil lihat anak pada main bola di saat hujan,"['sempat', 'berteduh', 'disini', 'sambil', 'lihat', 'anak', 'pada', 'main', 'bola', 'di', 'saat', 'hujan']","['berteduh', 'lihat', 'anak', 'main', 'bola', 'hujan']",teduh lihat anak main bola hujan,9,Positif
sebulan lalu,"The place is really nice, cool and clean, the view is really nice, the food is also really complete, it's really delicious, I really recommend it for you♥️",The place is really nice cool and clean the view is really nice the food is also really complete its really delicious I really recommend it for you,the place is really nice cool and clean the view is really nice the food is also really complete its really delicious i really recommend it for you,the place is really nice cool and clean the view is really nice the food is also really complete its really delicious i really recommend itu for you,"['the', 'place', 'is', 'really', 'nice', 'cool', 'and', 'clean', 'the', 'view', 'is', 'really', 'nice', 'the', 'food', 'is', 'also', 'really', 'complete', 'its', 'really', 'delicious', 'i', 'really', 'recommend', 'itu', 'for', 'you']","['the', 'place', 'is', 'really', 'nice', 'cool', 'and', 'clean', 'the', 'view', 'is', 'really', 'nice', 'the', 'food', 'is', 'also', 'really', 'complete', 'its', 'really', 'delicious', 'i', 'really', 'recommend', 'for', 'you']",the place is really nice cool and clean the view is really nice the food is also really complete its really delicious i really recommend for you,10,Positif
6 tahun lalu,"Suasana malam di selimuti kabut disertai dengan adanya lampu2 hias. Lampu2 kecil berjajar memanjang membentuk aneka macam bentuk, kerap-kerlip di antara kabut yang turun, menambah keindahan suasana Alun-alun kota Wonosobo.",Suasana malam di selimuti kabut disertai dengan adanya lampu hias Lampu kecil berjajar memanjang membentuk aneka macam bentuk kerapkerlip di antara kabut yang turun menambah keindahan suasana Alunalun kota Wonosobo,suasana malam di selimuti kabut disertai dengan adanya lampu hias lampu kecil berjajar memanjang membentuk aneka macam bentuk kerapkerlip di antara kabut yang turun menambah keindahan suasana alunalun kota wonosobo,suasana malam di selimuti kabut disertai dengan adanya lampu hias lampu kecil berjajar memanjang membentuk aneka macam bentuk kerapkerlip di antara kabut yang turun menambah keindahan suasana alunalun kota wonosobo,"['suasana', 'malam', 'di', 'selimuti', 'kabut', 'disertai', 'dengan', 'adanya', 'lampu', 'hias', 'lampu', 'kecil', 'berjajar', 'memanjang', 'membentuk', 'aneka', 'macam', 'bentuk', 'kerapkerlip', 'di', 'antara', 'kabut', 'yang', 'turun', 'menambah', 'keindahan', 'suasana', 'alunalun', 'kota', 'wonosobo']","['suasana', 'malam', 'selimuti', 'kabut', 'disertai', 'lampu', 'hias', 'lampu', 'berjajar', 'memanjang', 'membentuk', 'aneka', 'bentuk', 'kerapkerlip', 'kabut', 'turun', 'menambah', 'keindahan', 'suasana', 'alunalun', 'kota', 'wonosobo']",suasana malam selimut kabut serta lampu hias lampu jajar panjang bentuk aneka bentuk kerapkerlip kabut turun tambah indah suasana alunalun kota wonosobo,35,Positif
2 bulan lalu,Lokasi wahib dikunjungi setiap tahun,Lokasi wahib dikunjungi setiap tahun,lokasi wahib dikunjungi setiap tahun,lokasi wajib dikunjungi setiap tahun,"['lokasi', 'wajib', 'dikunjungi', 'setiap', 'tahun']","['lokasi', 'wajib', 'dikunjungi']",lokasi wajib kunjung,1,Positif
setahun lalu,"Suasana yg sejuk & asri
Banyak penjual makanan di sekitar alun²
Cocok untuk area kuliner & hunting makanan.","Suasana yg sejuk  asri
Banyak penjual makanan di sekitar alun
Cocok untuk area kuliner  hunting makanan","suasana yg sejuk  asri
banyak penjual makanan di sekitar alun
cocok untuk area kuliner  hunting makanan",suasana yang sejuk asri banyak penjual makanan di sekitar alun cocok untuk area kuliner hunting makanan,"['suasana', 'yang', 'sejuk', 'asri', 'banyak', 'penjual', 'makanan', 'di', 'sekitar', 'alun', 'cocok', 'untuk', 'area', 'kuliner', 'hunting', 'makanan']","['suasana', 'sejuk', 'asri', 'penjual', 'makanan', 'alun', 'cocok', 'area', 'kuliner', 'hunting', 'makanan']",suasana sejuk asri jual makan alun cocok area kuliner hunting makan,15,Positif
5 tahun lalu,"Alun-alun lumayan luas dan sudah memiliki beberapa fasilitas umum untuk masyarakat sekitar, mulai dari lapangan bola, lapangan basket, tempat skateboard, sepatu roda dan lainnya. walau malam Minggu tapi disini tidak terlalu ramai seperti kota lainnya. tetapi tetap syahdu dan adem seperti Wonosobo biasanya",Alunalun lumayan luas dan sudah memiliki beberapa fasilitas umum untuk masyarakat sekitar mulai dari lapangan bola lapangan basket tempat skateboard sepatu roda dan lainnya walau malam Minggu tapi disini tidak terlalu ramai seperti kota lainnya tetapi tetap syahdu dan adem seperti Wonosobo biasanya,alunalun lumayan luas dan sudah memiliki beberapa fasilitas umum untuk masyarakat sekitar mulai dari lapangan bola lapangan basket tempat skateboard sepatu roda dan lainnya walau malam minggu tapi disini tidak terlalu ramai seperti kota lainnya tetapi tetap syahdu dan adem seperti wonosobo biasanya,alunalun lumayan luas dan sudah memiliki beberapa fasilitas umum untuk masyarakat sekitar mulai dari lapangan bola lapangan basket tempat skateboard sepatu roda dan lainnya walau malam minggu tapi disini tidak terlalu ramai seperti kota lainnya tetapi tetap syahdu dan adem seperti wonosobo biasanya,"['alunalun', 'lumayan', 'luas', 'dan', 'sudah', 'memiliki', 'beberapa', 'fasilitas', 'umum', 'untuk', 'masyarakat', 'sekitar', 'mulai', 'dari', 'lapangan', 'bola', 'lapangan', 'basket', 'tempat', 'skateboard', 'sepatu', 'roda', 'dan', 'lainnya', 'walau', 'malam', 'minggu', 'tapi', 'disini', 'tidak', 'terlalu', 'ramai', 'seperti', 'kota', 'lainnya', 'tetapi', 'tetap', 'syahdu', 'dan', 'adem', 'seperti', 'wonosobo', 'biasanya']","['alunalun', 'lumayan', 'luas', 'memiliki', 'fasilitas', 'masyarakat', 'lapangan', 'bola', 'lapangan', 'basket', 'skateboard', 'sepatu', 'roda', 'malam', 'minggu', 'ramai', 'kota', 'syahdu', 'adem', 'wonosobo']",alunalun lumayan luas milik fasilitas masyarakat lapang bola lapang basket skateboard sepatu roda malam minggu ramai kota syahdu adem wonosobo,17,Positif
2 tahun lalu,"Lokasinya ramai banget , banyak pedagang kaki lima yang tertata rapi dan lengkap banget jajanannya",Lokasinya ramai banget  banyak pedagang kaki lima yang tertata rapi dan lengkap banget jajanannya,lokasinya ramai banget  banyak pedagang kaki lima yang tertata rapi dan lengkap banget jajanannya,lokasinya ramai banget banyak pedagang kaki lima yang tertata rapi dan lengkap banget jajanannya,"['lokasinya', 'ramai', 'banget', 'banyak', 'pedagang', 'kaki', 'lima', 'yang', 'tertata', 'rapi', 'dan', 'lengkap', 'banget', 'jajanannya']","['lokasinya', 'ramai', 'banget', 'pedagang', 'kaki', 'tertata', 'rapi', 'lengkap', 'banget', 'jajanannya']",lokasi ramai banget dagang kaki tata rapi lengkap banget jajan,11,Positif
6 tahun lalu,"Wonosobo asri, terdapat pohon beringin yang hijau dan sudah lumayan tua. Sangat sejuk dan asri sekali kemudian terdapat tumbuhan yang hijau. Jika minggu ramai orang berjualan.",Wonosobo asri terdapat pohon beringin yang hijau dan sudah lumayan tua Sangat sejuk dan asri sekali kemudian terdapat tumbuhan yang hijau Jika minggu ramai orang berjualan,wonosobo asri terdapat pohon beringin yang hijau dan sudah lumayan tua sangat sejuk dan asri sekali kemudian terdapat tumbuhan yang hijau jika minggu ramai orang berjualan,wonosobo asri terdapat pohon beringin yang hijau dan sudah lumayan tua sangat sejuk dan asri sekali kemudian terdapat tumbuhan yang hijau jika minggu ramai orang berjualan,"['wonosobo', 'asri', 'terdapat', 'pohon', 'beringin', 'yang', 'hijau', 'dan', 'sudah', 'lumayan', 'tua', 'sangat', 'sejuk', 'dan', 'asri', 'sekali', 'kemudian', 'terdapat', 'tumbuhan', 'yang', 'hijau', 'jika', 'minggu', 'ramai', 'orang', 'berjualan']","['wonosobo', 'asri', 'pohon', 'beringin', 'hijau', 'lumayan', 'tua', 'sejuk', 'asri', 'tumbuhan', 'hijau', 'minggu', 'ramai', 'orang', 'berjualan']",wonosobo asri pohon beringin hijau lumayan tua sejuk asri tumbuh hijau minggu ramai orang jual,11,Positif
